Date,BTC Volume,BTC Daily Volume Change (%),BTC New Coins Mined,BTC New Coins Mined (%),BTC Active Addresses,BTC Daily Active Addresses Change (%),BTC Transactions,BTC Daily Transactions Change (%)
2009-11-04,15500.0,inf,3150.0,0.016129032258064502,42,inf,1,inf
2009-11-05,0.0,-1.0,2850.0,-0.09523809523809523,0,-1.0,0,-1.0
2009-11-06,0.0,,3100.0,0.08771929824561409,0,,0,
2009-11-07,0.0,,3450.0,0.11290322580645151,0,,0,
2009-11-08,0.0,,3650.0,0.05797101449275366,0,,0,
2009-11-09,0.0,,3200.0,-0.12328767123287676,0,,0,
2009-11-10,0.0,,3900.0,0.21875,0,,0,
2009-11-11,90000.0,inf,3200.0,-0.17948717948717952,52,inf,9,inf
2009-11-12,0.0,-1.0,3300.0,0.03125,0,-1.0,0,-1.0
2009-11-13,600.0,inf,4000.0,0.21212121212121215,13,inf,3,inf
2009-11-14,0.0,-1.0,3950.0,-0.012499999999999956,0,-1.0,0,-1.0
2009-11-15,0.0,,4800.0,0.21518987341772156,0,,0,
2009-11-16,0.0,,4850.0,0.01041666666666674,0,,0,
2009-11-17,0.0,,4600.0,-0.05154639175257736,0,,0,
2009-11-18,0.0,,3950.0,-0.14130434782608692,0,,0,
2009-11-19,44350.0,inf,3500.0,-0.11392405063291144,83,inf,2,inf
2009-11-20,0.0,-1.0,4300.0,0.22857142857142865,0,-1.0,0,-1.0
2009-11-21,0.0,,3650.0,-0.15116279069767447,0,,0,
2009-11-22,0.0,,5300.0,0.452054794520548,0,,0,
2009-11-23,0.0,,4800.0,-0.09433962264150941,0,,0,
2009-11-24,0.0,,4650.0,-0.03125,0,,0,
2009-11-25,0.0,,4500.0,-0.032258064516129004,0,,0,
2009-11-26,0.0,,4200.0,-0.06666666666666665,0,,0,
2009-11-27,0.0,,3700.0,-0.11904761904761907,0,,0,
2009-11-28,0.0,,3550.0,-0.04054054054054057,0,,0,
2009-11-29,0.0,,3000.0,-0.15492957746478875,0,,0,
2009-11-30,0.0,,3750.0,0.25,0,,0,
2009-12-01,10049.78,inf,3650.0,-0.026666666666666616,167,inf,1,inf
2009-12-02,0.0,-1.0,4700.0,0.28767123287671237,0,-1.0,0,-1.0
2009-12-03,0.0,,4400.0,-0.06382978723404253,0,,0,
2009-12-04,0.0,,1800.0,-0.5909090909090908,0,,0,
2009-12-05,900.0,inf,3200.0,0.7777777777777777,20,inf,1,inf
2009-12-06,140.0,-0.8444444444444444,5150.0,0.609375,4,-0.8,2,1.0
2009-12-07,0.0,-1.0,5600.0,0.08737864077669899,0,-1.0,0,-1.0
2009-12-08,1500.0,inf,5250.0,-0.0625,31,inf,2,inf
2009-12-09,2355.0,0.5700000000000001,4800.0,-0.08571428571428574,23,-0.25806451612903225,13,5.5
2009-12-10,0.0,-1.0,5200.0,0.08333333333333326,0,-1.0,0,-1.0
2009-12-11,0.0,,5600.0,0.07692307692307687,0,,0,
2009-12-12,5200.0,inf,5500.0,-0.017857142857142905,68,inf,2,inf
2009-12-13,0.0,-1.0,5700.0,0.036363636363636376,0,-1.0,0,-1.0
2009-12-14,32545.7,inf,5100.0,-0.10526315789473684,335,inf,5,inf
2009-12-15,5459.0,-0.832266628156715,5500.0,0.07843137254901955,9,-0.973134328358209,2,-0.6
2009-12-16,850.0,-0.8442938267081883,6800.0,0.23636363636363633,18,1.0,1,-0.5
2009-12-17,299.5,-0.6476470588235295,8450.0,0.24264705882352944,10,-0.4444444444444444,3,2.0
2009-12-18,0.0,-1.0,11250.0,0.33136094674556205,0,-1.0,0,-1.0
2009-12-19,50.0,inf,9900.0,-0.12,2,inf,1,inf
2009-12-20,0.0,-1.0,8750.0,-0.11616161616161613,0,-1.0,0,-1.0
2009-12-21,50.0,inf,8750.0,0.0,2,inf,1,inf
2009-12-22,0.0,-1.0,8100.0,-0.07428571428571429,0,-1.0,0,-1.0
2009-12-23,0.0,,7700.0,-0.04938271604938271,0,,0,
2009-12-24,0.0,,7700.0,0.0,0,,0,
2009-12-25,50.0,inf,7450.0,-0.03246753246753242,2,inf,1,inf
2009-12-26,0.0,-1.0,8700.0,0.16778523489932895,0,-1.0,0,-1.0
